,GDPC,VABI,EMP,QOA,QOR,YUA,REST,EBSG,GGFC,LBGD,FDI,PC,ARP,CO2C,PAM,EUPC
0,362059.214096229,25.02,79.7,6.03,5.65,19.26,43.224,5.90006313117971,24.2058106650331,3.21419524653314,9.42,7.6,10.5,5.775224043715847e-06,276.1748633879781,3.554298360655738
1,367898.323979567,24.15,80.0,6.02,5.63,20.21,43.922,5.21871440958121,24.7854514107036,2.03223041791757,8.05,8.0,13.5,5.608731019522776e-06,276.46420824295006,5.290970932754881
2,357492.674905617,22.33,77.9,6.04,5.69,25.02,47.024,4.95880000637757,26.1321161403318,-0.614954013821875,2.06,9.1,14.4,5.045236559139785e-06,235.0537634408602,19.50399440860215
3,378703.698372148,23.86,77.7,6.2,5.71,24.76,46.099,4.66145445443106,25.1877852115046,-0.240938344618138,0.13,8.0,14.8,5.637899786780384e-06,234.11513859275053,18.68423017057569
4,392078.684224813,23.73,79.0,6.25,5.66,22.78,47.632,4.4363919040929,25.0924805018307,0.0153313170492073,1.22,7.1,15.4,5.128264550264551e-06,212.06349206349208,33.70849492063492
5,391255.979647401,23.11,79.1,5.97,5.58,23.61,49.403,4.36792793257211,25.8785848991761,-0.914025783780533,0.78,7.7,15.2,4.80343487394958e-06,240.3361344537815,11.559979096638656
6,396337.89457687,21.98,79.4,5.73,5.52,23.52,50.153,3.83117555507315,26.3182806595753,-1.37135564471324,0.25,9.3,16.0,4.580052083333333e-06,242.91666666666669,26.080147604166665
7,408791.051256638,21.61,79.6,5.67,5.5,22.82,51.151,3.09333516328122,26.2754867127366,-1.12925276819564,-1.05,10.6,15.6,4.410226804123712e-06,204.5360824742268,35.53846907216495
8,431846.583991772,22.28,80.1,5.6,5.36,20.36,52.22,3.25986088481229,25.8927700038637,0.37774015211219,1.95,10.6,16.3,4.377642857142857e-06,207.95918367346937,8.000893163265307
9,443685.809403023,21.96,80.8,5.7,5.3,18.9,52.597,2.55709409521179,26.4390383062153,1.57611228664384,3.01,14.5,16.2,4.283266129032258e-06,204.83870967741936,5.269573387096775
10,455661.623564358,22.16,81.4,5.8,5.5,17.88,53.39,1.86722095822586,26.2619555666305,1.66182730742736,4.53,12.4,15.8,4.158667992047714e-06,198.01192842942345,15.072472365805169
11,470977.219742012,22.19,82.0,5.8,5.6,17.4,53.916,1.65219412665417,26.255213056628,1.47361576731311,-0.13,10.8,16.4,3.894724950884087e-06,180.55009823182712,24.30375324165029
12,489687.55080195,22.29,81.7,5.7,5.3,20.09,55.785,3.96134415349493,25.8359933747139,1.4715176073316,2.98,9.5,17.1,3.8419357976653695e-06,175.29182879377433,17.05522519455253
13,484957.369732694,21.81,80.2,5.885384615384615,5.3,23.9,60.124,4.1891041944418,26.5311658405992,-2.99437679272843,3.4,5.0,16.1,3.6752463768115936e-06,170.43478260869566,19.839044444444443
14,524671.194590608,23.06,80.4,5.885384615384615,5.3,24.6,62.527,4.32130573502491,25.7524415924533,-0.653958113596722,9.1,7.0,15.7,3.884692898272553e-06,169.9616122840691,19.179013915547024
15,559287.117186985,24.02,82.0,5.885384615384615,5.3,21.61,66.287,1.90554099417736,25.3239653270786,0.754005269375646,9.3,6.6,16.0,3.598913250714967e-06,198.93867175087385,22.25380428979981
